Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Darwin Núñez,uy URU,FW,Liverpool,25-118,1999,4,1,136,1.5,1,0,1,1,0,0,0,0,0.5,0.5,0,0.5,6,4,12,0.66,0,0.66,0.66,0.66,0.3,0.01,0.31,0.3,0.31,Matches
David Brooks,wls WAL,MF,Bournemouth,27-104,1997,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,3,6,0,0,0,0,0,0,2.71,2.71,0,2.71,Matches
David Raya,es ESP,GK,Arsenal,29-035,1995,8,8,720,8,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,Matches
Dean Henderson,eng ENG,GK,Crystal Palace,27-222,1997,7,7,630,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Dean Huijsen,es ESP,DF,Bournemouth,19-189,2005,3,2,194,2.2,0,0,0,0,0,0,1,0,0,0,0.1,0.1,0,8,1,0,0,0,0,0,0.02,0.04,0.05,0.02,0.05,Matches
Declan Rice,eng ENG,MF,Arsenal,25-280,1999,7,7,582,6.5,0,0,0,0,0,0,4,1,0.4,0.4,0.9,1.3,18,44,23,0,0,0,0,0,0.06,0.14,0.2,0.06,0.2,Matches
Dejan Kulusevski,se SWE,"MF,FW",Tottenham,24-178,2000,8,7,618,6.9,2,1,3,2,0,0,2,0,1.3,1.3,2,3.3,33,42,59,0.29,0.15,0.44,0.29,0.44,0.19,0.29,0.48,0.19,0.48,Matches
Destiny Udogie,it ITA,DF,Tottenham,21-327,2002,8,8,654,7.3,0,1,1,0,0,0,2,0,0.3,0.3,0.5,0.8,19,42,43,0,0.14,0.14,0,0.14,0.04,0.07,0.11,0.04,0.11,Matches
Diego Carlos,br BRA,DF,Aston Villa,31-219,1993,4,3,349,3.9,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,Matches
Diogo Dalot,pt POR,DF,Manchester Utd,25-216,1999,8,8,720,8,0,1,1,0,0,0,2,0,0.5,0.5,1,1.5,9,34,25,0,0.12,0.12,0,0.12,0.06,0.13,0.19,0.06,0.19,Matches
Diogo Jota,pt POR,FW,Liverpool,27-321,1996,6,6,463,5.1,2,2,4,2,0,0,1,0,2.7,2.7,0.8,3.5,11,5,33,0.39,0.39,0.78,0.39,0.78,0.53,0.15,0.68,0.53,0.68,Matches
Djed Spence,eng ENG,DF,Tottenham,24-072,2000,3,0,64,0.7,0,0,0,0,0,0,1,0,0,0,0,0,3,4,5,0,0,0,0,0,0,0,0,0,0,Matches
Dominic Calvert-Lewin,eng ENG,FW,Everton,27-218,1997,8,8,683,7.6,2,1,3,2,0,0,1,0,3.4,3.4,0.2,3.6,7,8,50,0.26,0.13,0.4,0.26,0.4,0.44,0.03,0.47,0.44,0.47,Matches
Dominic Solanke,eng ENG,FW,Tottenham,27-036,1997,6,6,527,5.9,2,1,3,2,0,0,0,0,3.5,3.5,0.8,4.3,12,14,22,0.34,0.17,0.51,0.34,0.51,0.6,0.13,0.73,0.6,0.73,Matches
Dominik Szoboszlai,hu HUN,MF,Liverpool,23-361,2000,7,6,537,6,0,1,1,0,0,0,2,0,1.2,1.2,1.1,2.3,17,23,25,0,0.17,0.17,0,0.17,0.21,0.18,0.39,0.21,0.39,Matches
Dwight McNeil,eng ENG,"MF,FW",Everton,24-333,1999,8,8,712,7.9,3,3,6,3,0,0,1,0,0.6,0.6,2.6,3.2,16,39,37,0.38,0.38,0.76,0.38,0.76,0.08,0.33,0.41,0.08,0.41,Matches
Eberechi Eze,eng ENG,"MF,FW",Crystal Palace,26-113,1998,7,7,629,7,1,0,1,1,0,0,0,0,2.5,2.5,0.8,3.3,20,39,49,0.14,0,0.14,0.14,0.14,0.36,0.11,0.47,0.36,0.47,Matches
Eddie Nketiah,eng ENG,"MF,FW",Crystal Palace,25-143,1999,4,4,317,3.5,0,0,0,0,0,0,1,0,0.6,0.6,0.1,0.8,10,6,19,0,0,0,0,0,0.18,0.04,0.22,0.18,0.22,Matches
Ederson,br BRA,GK,Manchester City,31-064,1993,7,7,630,7,0,1,1,0,0,0,3,0,0,0,0.4,0.4,0,1,0,0,0.14,0.14,0,0.14,0,0.05,0.05,0,0.05,Matches
Edson Álvarez,mx MEX,"MF,DF",West Ham,26-362,1997,6,3,274,3,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.2,1,13,3,0,0,0,0,0,0.02,0.05,0.07,0.02,0.07,Matches
